config_tag,train_accuracy,test_accuracy,confusion_matrix,precision_train,precision_test,recall_train,recall_test,n_layers,hidden_neurons,epochs,activation_function,execution_dir,execution_time
neurons,0.89,0.79,"[[ 351   35  148  196]
 [  38   47   47  107]
 [ 247   57 1078  318]
 [ 268   99  472 6297]]",0.9,0.8,0.89,0.79,2,"[300, 100]",20,relu,fnnLogs2/20180515/run-FNNClassifier-neurons-161146/,162.70826840400696
neurons,0.89,0.8,"[[ 232   56  182  260]
 [  11   51   40  137]
 [ 129   73 1046  452]
 [  98  122  407 6509]]",0.89,0.79,0.89,0.8,2,"[550, 350]",20,relu,fnnLogs2/20180515/run-FNNClassifier-neurons-161553/,328.95175671577454
neurons,0.9,0.79,"[[ 284   41  181  224]
 [  32   45   38  124]
 [ 197   58 1043  402]
 [ 175   85  467 6409]]",0.9,0.79,0.9,0.79,2,"[400, 400]",20,relu,fnnLogs2/20180515/run-FNNClassifier-neurons-162246/,253.42865705490112
neurons,0.89,0.8,"[[ 311   32  167  220]
 [  34   38   43  124]
 [ 214   36 1069  381]
 [ 203   60  440 6433]]",0.9,0.8,0.89,0.8,2,"[300, 300]",20,relu,fnnLogs2/20180515/run-FNNClassifier-neurons-162823/,204.20221590995789
neurons,0.89,0.8,"[[ 274   34  162  260]
 [  29   36   47  127]
 [ 182   50 1013  455]
 [ 182   49  395 6510]]",0.89,0.79,0.89,0.8,2,"[200, 100]",20,relu,fnnLogs2/20180515/run-FNNClassifier-neurons-163310/,124.95256185531616
neurons,0.88,0.8,"[[ 267   45  141  277]
 [  18   44   34  143]
 [ 166   62 1018  454]
 [ 144   92  370 6530]]",0.88,0.79,0.88,0.8,2,"[200, 50]",20,relu,fnnLogs2/20180515/run-FNNClassifier-neurons-163637/,118.34577918052673
neurons,0.87,0.75,"[[ 364   45  144  177]
 [  58   54   34   93]
 [ 334   92  944  330]
 [ 454  189  461 6032]]",0.87,0.79,0.87,0.75,2,"[50, 25]",20,relu,fnnLogs2/20180515/run-FNNClassifier-neurons-163958/,82.15187883377075
layers,0.9,0.8,"[[ 261   41  179  249]
 [  18   40   39  142]
 [ 145   57 1082  416]
 [ 125   64  464 6483]]",0.9,0.79,0.9,0.8,3,"[450, 225, 150]",20,relu,fnnLogs2/20180515/run-FNNClassifier-layers-164242/,251.20252799987793
layers,0.9,0.8,"[[ 334   36  151  209]
 [  34   44   38  123]
 [ 236   51 1032  381]
 [ 209   97  435 6395]]",0.9,0.8,0.9,0.8,3,"[500, 275, 200]",20,relu,fnnLogs2/20180515/run-FNNClassifier-layers-164818/,285.433096408844
layers,0.97,0.81,"[[ 268   20  156  286]
 [  24   27   40  148]
 [ 180   32  989  499]
 [ 133   30  340 6633]]",0.97,0.79,0.97,0.81,4,"[450, 300, 225, 150]",20,relu,fnnLogs2/20180515/run-FNNClassifier-layers-165430/,371.09876537323
layers,0.94,0.78,"[[ 360   20  136  214]
 [  48   32   31  128]
 [ 322   43 1005  330]
 [ 313   73  543 6207]]",0.95,0.79,0.94,0.78,4,"[375, 225, 150, 75]",20,relu,fnnLogs2/20180515/run-FNNClassifier-layers-170207/,257.97357201576233
layers,0.97,0.81,"[[ 221   12  222  275]
 [  18   22   57  142]
 [  99   27 1137  437]
 [  76   33  477 6550]]",0.97,0.79,0.97,0.81,5,"[450, 375, 300, 225, 150]",20,relu,fnnLogs2/20180515/run-FNNClassifier-layers-170747/,477.310507774353
layers,0.97,0.81,"[[ 256   14  170  290]
 [  28   20   41  150]
 [ 163   16 1046  475]
 [ 104   28  377 6627]]",0.97,0.79,0.97,0.81,5,"[375, 300, 225, 150, 75]",20,relu,fnnLogs2/20180515/run-FNNClassifier-layers-171715/,337.49378275871277
