activation_function,config_tag,hidden_neurons,n_layers,optimizer,learning_rate,learning_decrease_base,epochs,train_accuracy,test_accuracy,precision_train,precision_test,recall_train,recall_test,confusion_matrix,early_stopping_patience,dropout_rate,l2_regularization,execution_time,execution_dir
relu,base_arquitecture,"[300, 100]",2,GD,0.001,1,20,0.56,0.35,0.55,0.67,0.56,0.35,"[[ 452   81  101   96]
 [ 126   57   17   39]
 [ 480  104  849  267]
 [2319  561 2154 2102]]",2,1.0,0.0,326.39633321762085,fnnLogs/06-25_BASE_ARQUITECTURE_/20180625/run-FNNClassifier-base_arquitecture-170853/
relu,base_arquitecture,"[300, 100]",2,momentum,0.001,1,20,0.97,0.79,0.97,0.79,0.97,0.79,"[[ 366   14  115  235]
 [  62   24   32  121]
 [ 264   30  928  478]
 [ 345   32  361 6398]]",2,1.0,0.0,336.20836901664734,fnnLogs/06-25_BASE_ARQUITECTURE_/20180625/run-FNNClassifier-base_arquitecture-172702/
relu,base_arquitecture,"[300, 100]",2,momentum,0.05,1,20,1.0,0.83,1.0,0.81,1.0,0.83,"[[ 351    9   93  277]
 [  43   30   27  139]
 [ 194   21  989  496]
 [ 132   12  268 6724]]",2,1.0,0.0,336.7025544643402,fnnLogs/06-25_BASE_ARQUITECTURE_/20180625/run-FNNClassifier-base_arquitecture-173550/
relu,base_arquitecture,"[300, 100]",2,momentum,0.001,1,20,0.97,0.78,0.97,0.79,0.97,0.78,"[[ 345   22  149  214]
 [  55   27   44  113]
 [ 213   40 1080  367]
 [ 362   39  532 6203]]",2,1.0,0.0,335.56627368927,fnnLogs/06-25_BASE_ARQUITECTURE_/20180625/run-FNNClassifier-base_arquitecture-174426/
relu,base_arquitecture,"[300, 100]",2,momentum,0.005,1,20,1.0,0.81,1.0,0.8,1.0,0.81,"[[ 310   11  149  260]
 [  44   23   38  134]
 [ 147   23 1073  457]
 [ 168   20  411 6537]]",2,1.0,0.0,335.14764046669006,fnnLogs/06-25_BASE_ARQUITECTURE_/20180625/run-FNNClassifier-base_arquitecture-175412/
relu,default_ADAM,"[300, 100]",2,ADAM,0.0001,1,20,1.0,0.82,1.0,0.81,1.0,0.82,"[[ 367   10  104  249]
 [  54   22   38  125]
 [ 222   18  990  470]
 [ 192   20  293 6631]]",2,1.0,0.0,387.59638833999634,fnnLogs/06-25_BASE_ARQUITECTURE_/20180625/run-FNNClassifier-default_ADAM-180207/
relu,default_ADAM,"[300, 100]",2,ADAM,0.0005,1,20,0.99,0.83,0.99,0.81,0.99,0.83,"[[ 305    3  175  247]
 [  39   14   62  124]
 [ 148    5 1071  476]
 [ 101    4  324 6707]]",2,1.0,0.0,384.8870987892151,fnnLogs/06-25_BASE_ARQUITECTURE_/20180625/run-FNNClassifier-default_ADAM-181144/
relu,base_arquitecture,"[300, 100]",2,GD,0.01,1,20,0.97,0.8,0.97,0.8,0.97,0.8,"[[ 368   19  123  220]
 [  54   32   30  123]
 [ 268   46  954  432]
 [ 290   28  364 6454]]",2,1.0,0.0,364.7948694229126,fnnLogs/06-25_BASE_ARQUITECTURE_/20180625/run-FNNClassifier-base_arquitecture-183507/
relu,dynamic_learning_rate_0.01_0.95,"[300, 100]",2,GD,0.01,0.95,20,0.92,0.75,0.92,0.79,0.92,0.75,"[[ 410   14  127  179]
 [  64   33   34  108]
 [ 338   43  940  379]
 [ 591   52  480 6013]]",2,1.0,0.0,325.25361227989197,fnnLogs/06-25_BASE_ARQUITECTURE_/20180625/run-FNNClassifier-dynamic_learning_rate_0.01_0.95-184319/
relu,dynamic_learning_rate_0.01_0.90,"[300, 100]",2,GD,0.01,0.9,20,0.84,0.67,0.84,0.74,0.84,0.67,"[[ 426   29   69  206]
 [  79   36   14  110]
 [ 372   65  775  488]
 [1068   85  636 5347]]",2,1.0,0.0,323.4853389263153,fnnLogs/06-25_BASE_ARQUITECTURE_/20180625/run-FNNClassifier-dynamic_learning_rate_0.01_0.90-185051/
relu,dynamic_learning_rate_0.05_0.95,"[300, 100]",2,GD,0.05,0.95,20,1.0,0.82,1.0,0.81,1.0,0.82,"[[ 350   12  110  258]
 [  49   26   30  134]
 [ 188   31  971  510]
 [ 157   13  245 6721]]",2,1.0,0.0,324.92351841926575,fnnLogs/06-25_BASE_ARQUITECTURE_/20180625/run-FNNClassifier-dynamic_learning_rate_0.05_0.95-185820/
relu,dynamic_learning_rate_0.05_0.90,"[300, 100]",2,GD,0.05,0.9,20,0.99,0.81,0.99,0.8,0.99,0.81,"[[ 327   12  120  271]
 [  48   25   44  122]
 [ 186   26 1056  432]
 [ 228   24  372 6512]]",2,1.0,0.0,325.8498477935791,fnnLogs/06-25_BASE_ARQUITECTURE_/20180625/run-FNNClassifier-dynamic_learning_rate_0.05_0.90-190550/
relu,default_ADAM,"[300, 100]",2,ADAM,0.001,1,20,1.0,0.83,1.0,0.81,1.0,0.83,"[[ 273    5  177  275]
 [  30   26   57  126]
 [ 100   12 1105  483]
 [  83   13  288 6752]]",2,1.0,0.0,350.47890400886536,fnnLogs/06-25_BASE_ARQUITECTURE_/20180625/run-FNNClassifier-default_ADAM-191323/
relu,ADAM_0.01,"[300, 100]",2,ADAM,0.01,1,20,0.99,0.79,0.99,0.78,0.99,0.79,"[[ 314   19  129  268]
 [  48   41   39  111]
 [ 215   31  951  503]
 [ 217   45  430 6444]]",2,1.0,0.0,344.240891456604,fnnLogs/06-25_BASE_ARQUITECTURE_/20180625/run-FNNClassifier-ADAM_0.01-192124/
relu,ADAM_0.015,"[300, 100]",2,ADAM,0.015,1,20,0.98,0.78,0.98,0.77,0.98,0.78,"[[ 291   30  123  286]
 [  29   50   36  124]
 [ 201   47  862  590]
 [ 233  105  366 6432]]",2,1.0,0.0,378.8853485584259,fnnLogs/06-25_BASE_ARQUITECTURE_/20180625/run-FNNClassifier-ADAM_0.015-192915/
relu,default_ADAM,"[300, 100]",2,ADAM,0.0001,1,20,0.99,0.81,0.99,0.8,0.99,0.81,"[[ 368   11   77  274]
 [  59   20   34  126]
 [ 257   21  863  559]
 [ 244    6  195 6691]]",2,1.0,0.0,378.05680108070374,fnnLogs/06-25_BASE_ARQUITECTURE_/20180625/run-FNNClassifier-default_ADAM-193742/
relu,momentum_0.005,"[300, 100]",2,momentum,0.005,1,20,1.0,0.81,1.0,0.8,1.0,0.81,"[[ 326    7  102  295]
 [  50   23   24  142]
 [ 233   16  909  542]
 [ 179   14  239 6704]]",2,1.0,0.0,325.9649121761322,fnnLogs/06-25_BASE_ARQUITECTURE_/20180625/run-FNNClassifier-momentum_0.005-194608/
relu,momentum_0.001,"[300, 100]",2,momentum,0.001,1,20,0.96,0.77,0.96,0.79,0.96,0.77,"[[ 409   14  105  202]
 [  68   28   21  122]
 [ 340   38  874  448]
 [ 493   29  341 6273]]",2,1.0,0.0,364.1671395301819,fnnLogs/06-25_BASE_ARQUITECTURE_/20180625/run-FNNClassifier-momentum_0.001-195338/
