date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecisionSK,recallSK,SMOTE
2018-05-15 16:14,vector_Average,600,300features_15minwords_10contextALL,0.33,4.22,47.89,2.0,10.6,245.05,39220,9805,MLP,166.31,0.89,0.79,"[[ 351   35  148  196]
 [  38   47   47  107]
 [ 247   57 1078  318]
 [ 268   99  472 6297]]",0.8,0.79,all
2018-05-15 16:21,vector_Average,600,300features_15minwords_10contextALL,0.2,4.42,47.8,2.24,10.69,414.2,39220,9805,MLP,335.09,0.89,0.8,"[[ 232   56  182  260]
 [  11   51   40  137]
 [ 129   73 1046  452]
 [  98  122  407 6509]]",0.79,0.8,all
2018-05-15 16:27,vector_Average,600,300features_15minwords_10contextALL,0.21,4.21,46.74,2.43,10.6,335.7,39220,9805,MLP,258.59,0.9,0.79,"[[ 284   41  181  224]
 [  32   45   38  124]
 [ 197   58 1043  402]
 [ 175   85  467 6409]]",0.79,0.79,all
2018-05-15 16:31,vector_Average,600,300features_15minwords_10contextALL,0.2,4.15,46.79,2.24,10.79,285.37,39220,9805,MLP,208.35,0.89,0.8,"[[ 311   32  167  220]
 [  34   38   43  124]
 [ 214   36 1069  381]
 [ 203   60  440 6433]]",0.8,0.8,all
2018-05-15 16:35,vector_Average,600,300features_15minwords_10contextALL,0.21,4.59,47.19,2.29,10.46,205.68,39220,9805,MLP,128.02,0.89,0.8,"[[ 274   34  162  260]
 [  29   36   47  127]
 [ 182   50 1013  455]
 [ 182   49  395 6510]]",0.79,0.8,all
2018-05-15 16:38,vector_Average,600,300features_15minwords_10contextALL,0.21,4.75,46.76,2.34,10.71,198.86,39220,9805,MLP,121.26,0.88,0.8,"[[ 267   45  141  277]
 [  18   44   34  143]
 [ 166   62 1018  454]
 [ 144   92  370 6530]]",0.79,0.8,all
2018-05-15 16:41,vector_Average,600,300features_15minwords_10contextALL,0.2,4.18,47.89,2.36,10.77,162.79,39220,9805,MLP,84.34,0.87,0.75,"[[ 364   45  144  177]
 [  58   54   34   93]
 [ 334   92  944  330]
 [ 454  189  461 6032]]",0.79,0.75,all
2018-05-15 16:46,vector_Average,600,300features_15minwords_10contextALL,0.2,4.33,47.87,2.57,10.72,335.03,39220,9805,MLP,256.07,0.9,0.8,"[[ 261   41  179  249]
 [  18   40   39  142]
 [ 145   57 1082  416]
 [ 125   64  464 6483]]",0.79,0.8,all
2018-05-15 16:53,vector_Average,600,300features_15minwords_10contextALL,0.2,4.44,47.16,2.44,10.94,369.63,39220,9805,MLP,290.88,0.9,0.8,"[[ 334   36  151  209]
 [  34   44   38  123]
 [ 236   51 1032  381]
 [ 209   97  435 6395]]",0.8,0.8,all
2018-05-15 17:00,vector_Average,600,300features_15minwords_10contextALL,0.21,4.34,48.4,2.57,10.62,457.07,39220,9805,MLP,377.29,0.97,0.81,"[[ 268   20  156  286]
 [  24   27   40  148]
 [ 180   32  989  499]
 [ 133   30  340 6633]]",0.79,0.81,all
2018-05-15 17:06,vector_Average,600,300features_15minwords_10contextALL,0.21,4.8,48.35,2.22,10.46,341.91,39220,9805,MLP,262.89,0.94,0.78,"[[ 360   20  136  214]
 [  48   32   31  128]
 [ 322   43 1005  330]
 [ 313   73  543 6207]]",0.79,0.78,all
2018-05-15 17:15,vector_Average,600,300features_15minwords_10contextALL,0.2,4.45,45.83,2.53,10.41,560.99,39220,9805,MLP,484.83,0.97,0.81,"[[ 221   12  222  275]
 [  18   22   57  142]
 [  99   27 1137  437]
 [  76   33  477 6550]]",0.79,0.81,all
2018-05-15 17:22,vector_Average,600,300features_15minwords_10contextALL,0.22,4.54,49.69,2.58,11.24,425.0,39220,9805,MLP,343.32,0.97,0.81,"[[ 256   14  170  290]
 [  28   20   41  150]
 [ 163   16 1046  475]
 [ 104   28  377 6627]]",0.79,0.81,all
